Company,ISIN,NSE,BSE,Category
Mahindra Logistics Limited,INE766P01016,MAHLOG,MAHLOG,Small Cap
Gopal Snacks Limited,INE0L9R01028,GOPAL,GOPAL,Small Cap
Cigniti Technologies Ltd,INE675C01017,,CIGNITITEC,Small Cap
Optiemus Infracom Limited,INE350C01017,OPTIEMUS,OPTIEMUS,Small Cap
KSH INTERNATIONAL LIMITED,INE987S01020,KSHINTL,KSHINTL,Small Cap
Sindhu Trade Links Limited,INE325D01025,SINDHUTRAD,SINDHUTRAD,Small Cap
Samhi Hotels Limited,INE08U801020,SAMHI,SAMHI,Small Cap
Bondada Engineering Limited,INE0Q8P01029,,BONDADA,Small Cap
ELLENBARRIE INDUSTRIAL GASES LIMITED,INE236E01022,ELLEN,ELLEN,Small Cap
HeidelbergCement  India Limited,INE578A01017,HEIDELBERG,HEIDELBERG,Small Cap
Indiabulls Limited,INE126M01010,IBULLSLTD,IBULLSLTD,Small Cap
INDIQUBE SPACES LIMITED,INE06ST01018,INDIQUBE,INDIQUBE,Small Cap
Advanced Enzyme Technologies Limited,INE837H01020,ADVENZYMES,ADVENZYMES,Small Cap
Seamec Ltd,INE497B01018,SEAMECLTD,SEAMECLTD,Small Cap
Sanathan Textiles Limited,INE0JPD01013,SANATHAN,SANATHAN,Small Cap
R Systems International Limited,INE411H01032,RSYSTEMS,RSYSTEMS,Small Cap
Krishana Phoschem Ltd.,INE506W01012,KRISHANA,,Small Cap
Ujaas Energy Limited,INE899L01030,UEL,UEL,Small Cap
Harsha Engineers International Limited,INE0JUS01029,HARSHA,HARSHA,Small Cap
Orchid Pharma Limited,INE191A01027,ORCHPHARMA,ORCHPHARMA,Small Cap
SMS Pharmaceuticals Ltd,INE812G01025,SMSPHARMA,SMSPHARMA,Small Cap
Vadilal Industries Ltd.,INE694D01016,VADILALIND,VADILALIND,Small Cap
Refex Industries Limited,INE056I01025,REFEX,REFEX,Small Cap
RPG Life Sciences Limited,INE105J01010,RPGLIFE,RPGLIFE,Small Cap
LUX Industries Limited,INE150G01020,LUXIND,LUXIND,Small Cap
Shanthi Gears Ltd.,INE631A01022,SHANTIGEAR,SHANTIGEAR,Small Cap
IndoStar Capital Finance Limited,INE896L01010,INDOSTAR,INDOSTAR,Small Cap
ANAND RATHI SHARE AND STOCK BROKERS LIMITED,INE549H01021,ARSSBL,ARSSBL,Small Cap
Timex Group India Ltd,INE064A01026,,TIMEX,Small Cap
COLAB PLATFORMS LIMITED,INE317W01030,,COLAB,Small Cap
Aarti Drugs Limited,INE767A01016,AARTIDRUGS,AARTIDRUGS,Small Cap
Man Industries (India) Ltd,INE993A01026,MANINDS,MANINDS,Small Cap
KESAR INDIA LIMITED,INE0L1C01019,,KESAR,Small Cap
Route Mobile Limited,INE450U01017,ROUTE,ROUTE,Small Cap
Kitex Garmenets Ltd.,INE602G01020,KITEX,KITEX,Small Cap
MSTC Limited,INE255X01014,MSTCLTD,MSTCLTD,Small Cap
Indo Thai Securities Limited,INE337M01021,INDOTHAI,INDOTHAI,Small Cap
ZAGGLE PREPAID OCEAN SERVICES LIMITED,INE07K301024,ZAGGLE,ZAGGLE,Small Cap
Ashiana Housing Limited,INE365D01021,ASHIANA,ASHIANA,Small Cap
Sandhar Technologies Limited,INE278H01035,SANDHAR,SANDHAR,Small Cap
Ram Ratna Wires Ltd.,INE207E01023,RAMRAT,RAMRAT,Small Cap
Kalyani Steels Ltd,INE907A01026,KSL,KSL,Small Cap
PITTI ENGINEERING LIMITED,INE450D01021,PITTIENG,PITTIENG,Small Cap
Steel Strips & Wheels Ltd,INE802C01033,SSWL,SSWL,Small Cap
Kirloskar Industries Ltd,INE250A01039,KIRLOSIND,KIRLOSIND,Small Cap
Tourism Finance Corpn. Of India Ltd,INE305A01023,TFCILTD,TFCILTD,Small Cap
Raymond Realty Limited,INE1SY401010,RAYMONDREL,RAYMONDREL,Small Cap
Ramky Infrastructure Limited,INE874I01013,RAMKY,RAMKY,Small Cap
Heritage Foods Limited,INE978A01027,HERITGFOOD,HERITGFOOD,Small Cap
Flair Writing Industries Limited,INE00Y201027,FLAIR,FLAIR,Small Cap
Aye Finance Limited,INE501X01029,AYE,AYE,Small Cap
Interarch Building Solutions Limited,INE00M901018,INTERARCH,INTERARCH,Small Cap
ENVIRO INFRA ENGINEERS LIMITED,INE0LLY01014,EIEL,EIEL,Small Cap
Wonderla Holidays Limited,INE066O01014,WONDERLA,WONDERLA,Small Cap
Kolte-Patil Developers Ltd,INE094I01018,KOLTEPATIL,KOLTEPATIL,Small Cap
Navneet Education Limited,INE060A01024,NAVNETEDUL,NAVNETEDUL,Small Cap
Fineotex Chemical Limited,INE045J01034,FCL,FCL,Small Cap
Uflex Limited,INE516A01017,UFLEX,UFLEX,Small Cap
Grauer & Weil (India) Ltd.,INE266D01021,,GRAUWEIL,Small Cap
Gufic BioSciences Ltd.,INE742B01025,GUFICBIO,GUFICBIO,Small Cap
Shivalik Bimetal Controls Ltd.,INE386D01027,SBCL,SBCL,Small Cap
PSP Projects Limited,INE488V01015,PSPPROJECT,PSPPROJECT,Small Cap
Quess Corp Limited,INE615P01015,QUESS,QUESS,Small Cap
Marathon Nextgen Realty Ltd,INE182D01020,MARATHON,MARATHON,Small Cap
Bajaj Hindusthan Sugar Limited,INE306A01021,BAJAJHIND,BAJAJHIND,Small Cap
Rossell Techsys Limited,INE0OJW01016,ROSSTECH,ROSSTECH,Small Cap
Muthoot Microfin Limited,INE046W01019,MUTHOOTMF,MUTHOOTMF,Small Cap
Share India Securities Limited,INE932X01026,SHAREINDIA,SHAREINDIA,Small Cap
SAMBHV STEEL TUBES LIMITED,INE12NJ01018,SAMBHV,SAMBHV,Small Cap
KDDL Ltd,INE291D01011,KDDL,KDDL,Small Cap
Balmer Lawrie & Co. Ltd.,INE164A01016,BALMLAWRIE,BALMLAWRIE,Small Cap
ORIENT CEMENT LIMITED,INE876N01018,ORIENTCEM,ORIENTCEM,Small Cap
CARRARO INDIA LIMITED,INE0V7W01012,CARRARO,CARRARO,Small Cap
Greenply Industries Ltd,INE461C01038,GREENPLY,GREENPLY,Small Cap
TVS Srichakra Ltd.,INE421C01016,TVSSRICHAK,TVSSRICHAK,Small Cap
Cyient DLM Limited,INE055S01018,CYIENTDLM,CYIENTDLM,Small Cap
West Coast Paper Mills Limited,INE976A01021,WSTCSTPAPR,WSTCSTPAPR,Small Cap
Bharat Bijlee Ltd.,INE464A01036,BBL,BBL,Small Cap
Hubtown Limited,INE703H01016,HUBTOWN,HUBTOWN,Small Cap
Dishman Carbogen Amcis Limited,INE385W01011,DCAL,DCAL,Small Cap
Bhagiradha Chemicals and Industries,INE414D01027,BHAGCHEM,BHAGCHEM,Small Cap
EFC (I) LIMITED,INE886D01026,EFCIL,EFCIL,Small Cap
Raymond Limited,INE301A01014,RAYMOND,RAYMOND,Small Cap
Nalwa Sons Investment Ltd,INE023A01030,NSIL,NSIL,Small Cap
Rashi Peripherals Limited,INE0J1F01024,RPTECH,RPTECH,Small Cap
63 Moons Technologies Limited,INE111B01023,63MOONS,63MOONS,Small Cap
NRB Bearings Ltd.,INE349A01021,NRBBEARING,NRBBEARING,Small Cap
MPS Limited,INE943D01017,MPSLTD,MPSLTD,Small Cap
SUNDARAM-CLAYTON LIMITED,INE0Q3R01026,SUNCLAY,SUNCLAY,Small Cap
Shanti Educational Initiatives Limited,INE440T01028,,SEIL,Small Cap
Borosil Limited,INE02PY01013,BOROLTD,BOROLTD,Small Cap
Premier Explosives Ltd.,INE863B01029,PREMEXPLN,PREMEXPLN,Small Cap
Maithan Alloys Limited,INE683C01011,MAITHANALL,MAITHANALL,Small Cap
Universal Cables Ltd.,INE279A01012,UNIVCABLES,UNIVCABLES,Small Cap
Kewal Kiran Clothing Ltd.,INE401H01017,KKCL,KKCL,Small Cap
Marine Electricals (India) Ltd.,INE01JE01028,MARINE,,Small Cap
Gateway Distriparks Limited,INE079J01017,GATEWAY,GATEWAY,Small Cap
Hind Rectifiers Ltd.,INE835D01023,HIRECT,HIRECT,Small Cap
JOHN COCKERILL INDIA LIMITED,INE515A01019,,COCKERILL,Small Cap
Tatva Chintan Pharma Chem Limited,INE0GK401011,TATVA,TATVA,Small Cap
Bliss GVS Pharma Limited,INE416D01022,BLISSGVS,BLISSGVS,Small Cap
Parag Milk Foods Limited,INE883N01014,PARAGMILK,PARAGMILK,Small Cap
GRM Overseas Ltd.,INE192H01020,GRMOVER,GRMOVER,Small Cap
Jubilant Agri and Consumer Products Limited,INE03CC01015,JUBLCPL,JUBLCPL,Small Cap
Prince Pipes and Fittings Limited,INE689W01016,PRINCEPIPE,PRINCEPIPE,Small Cap
Jindal Poly Films Ltd.,INE197D01010,JINDALPOLY,JINDALPOLY,Small Cap
Dredging Corporation of India Ltd.,INE506A01018,DREDGECORP,DREDGECORP,Small Cap
Medi Assist Healthcare Services Limited,INE456Z01021,MEDIASSIST,MEDIASSIST,Small Cap
CITY PULSE MULTIVENTURES LIMITED,INE056001014,,CPML,Small Cap
ROSSARI BIOTECH LIMITED,INE02A801020,ROSSARI,ROSSARI,Small Cap
National Standard (India) Limited,INE166R01015,,NATIONSTD,Small Cap
FUSION FINANCE LIMITED,INE139R01012,FUSION,FUSION,Small Cap
Automotive Axles Ltd.,INE449A01011,AUTOAXLES,AUTOAXLES,Small Cap
BN AGROCHEM LIMITED,INE00HZ01011,,BNAGROCHEM,Small Cap
Deep Industries Limited,INE0FHS01024,DEEPINDS,DEEPINDS,Small Cap
STANDARD ENGINEERING TECHNOLOGY LIMITED,INE0M4D01010,SETL,SETL,Small Cap
Patel Engineering Ltd,INE244B01030,PATELENG,PATELENG,Small Cap
LS Industries Limited,INE345D01031,,LSIND,Small Cap
Pokarna Ltd.,INE637C01025,POKARNA,POKARNA,Small Cap
WHEELS INDIA LTD,INE715A01015,WHEELS,WHEELS,Small Cap
Polyplex Corporation Ltd.,INE633B01018,POLYPLEX,POLYPLEX,Small Cap
Savita Oil Technologies Limited,INE035D01020,SOTL,SOTL,Small Cap
Sanghvi Movers Ltd.,INE989A01032,SANGHVIMOV,SANGHVIMOV,Small Cap
Easy Trip Planners Limited,INE07O001026,EASEMYTRIP,EASEMYTRIP,Small Cap
IOL Chemicals & Pharmaceuticals Ltd,INE485C01029,IOLCP,IOLCP,Small Cap
Globus Spirits Limited,INE615I01010,GLOBUSSPR,GLOBUSSPR,Small Cap
WELSPUN SPECIALTY SOLUTIONS LIMITED,INE731F01037,,WELSPLSOL,Small Cap
DDEV PLASTIKS INDUSTRIES LIMITED,INE0HR601026,DDEVPLSTIK,DDEVPLSTIK,Small Cap
RPSG VENTURES LIMITED,INE425Y01011,RPSGVENT,RPSGVENT,Small Cap
Dalmia Bharat Sugar and Industries Ltd,INE495A01022,DALMIASUG,DALMIASUG,Small Cap
Kilburn Engineering Ltd,INE338F01015,,KLBRENG-B,Small Cap
CARYSIL LIMITED,INE482D01024,CARYSIL,CARYSIL,Small Cap
SG FINSERVE LIMITED,INE618R01015,SGFIN,SGFIN,Small Cap
Ajmera Realty & Infra India Limited,INE298G01035,AJMERA,AJMERA,Small Cap
Arvind SmartSpaces Limited,INE034S01021,ARVSMART,ARVSMART,Small Cap
Jindal Worldwide Ltd.,INE247D01039,JINDWORLD,JINDWORLD,Small Cap
Unichem Laboratories Ltd.,INE351A01035,UNICHEMLAB,UNICHEMLAB,Small Cap
INSOLATION ENERGY LIMITED,INE0LGX01024,INA,INA,Small Cap
NOCIL Ltd,INE163A01018,NOCIL,NOCIL,Small Cap
HMT Limited,INE262A01018,HMT,HMT,Small Cap
DEE DEVELOPMENT ENGINEERS LIMITED,INE841L01016,DEEDEV,DEEDEV,Small Cap
JTL INDUSTRIES LIMITED,INE391J01032,JTLIND,JTLIND,Small Cap
Network People Services Technologies Limited,INE0FFK01017,NPST,NPST,Small Cap
EURO PRATIK SALES LIMITED,INE198501012,EUROPRATIK,EUROPRATIK,Small Cap
Mayur Uniquoters ltd.,INE040D01038,MAYURUNIQ,MAYURUNIQ,Small Cap
KIRI INDUSTRIES LIMITED,INE415I01015,KIRIINDUS,KIRIINDUS,Small Cap
IMAGICAAWORLD ENTERTAINMENT LIMITED,INE172N01012,IMAGICAA,IMAGICAA,Small Cap
Apeejay Surrendra Park Hotels Limited,INE988S01028,PARKHOTELS,PARKHOTELS,Small Cap
Bharat Rasayan Limited,INE838B01021,BHARATRAS,BHARATRAS,Small Cap
KS Smart Technologies Limited,INE737E01011,,KSSMART,Small Cap
JASH ENGINEERING LIMITED,INE039O01029,,JASH,Small Cap
Jash Engineering Ltd.,INE039O01011,JASH,,Small Cap
Concord Control Systems Limited,INE0N0J01014,,CNCRD,Small Cap
Deccan Gold Mines Ltd.,INE945F01025,,DECNGOLD,Small Cap
RAVINDRA ENERGY LIMITED,INE206N01018,RELTD,RELTD,Small Cap
Novartis India Limited.,INE234A01025,,NOVARTIND,Small Cap
Camlin Fine Sciences Ltd,INE052I01032,CAMLINFINE,CAMLINFINE,Small Cap
Siyaram Silk Mills Ltd.,INE076B01028,SIYSIL,SIYSIL,Small Cap
Steelcast Ltd.,INE124E01038,STEELCAS,STEELCAS,Small Cap
Venus Pipes & Tubes Limited,INE0JA001018,VENUSPIPES,VENUSPIPES,Small Cap
Aqylon Nexus Limited,INE416A01051,AQYLON,AQYLON,Small Cap
D P ABHUSHAN LIMITED,INE266Y01019,DPABHUSHAN,DPABHUSHAN,Small Cap
Greenpanel Industries Limited,INE08ZM01014,GREENPANEL,GREENPANEL,Small Cap
Vardhman Special Steels Ltd,INE050M01012,VSSL,VSSL,Small Cap
Prataap Snacks Limited,INE393P01035,DIAMONDYD,DIAMONDYD,Small Cap
Ramco Industries Ltd,INE614A01028,RAMCOIND,RAMCOIND,Small Cap
Sirca Paints India Limited,INE792Z01011,SIRCA,SIRCA,Small Cap
ADF Foods Limited.,INE982B01027,ADFFOODS,ADFFOODS,Small Cap
GK ENERGY LIMITED,INE1AG301022,GKENERGY,GKENERGY,Small Cap
IDEAFORGE TECHNOLOGY LIMITED,INE349Y01013,IDEAFORGE,IDEAFORGE,Small Cap
VEEDOL CORPORATION LIMITED,INE484C01030,VEEDOL,VEEDOL,Small Cap
Orissa Minerals Development Company Limited,INE725E01024,ORISSAMINE,ORISSAMINE,Small Cap
Jain Irrigation Systems Ltd.,INE175A01038,JISLJALEQS,JISLJALEQS,Small Cap
FISCHER MEDICAL VENTURES LIMITED,INE771F01041,FISCHER,FISCHER,Small Cap
Repco Home Finance Limited,INE612J01015,REPCOHOME,REPCOHOME,Small Cap
SUNDROP BRANDS LIMITED,INE209A01019,SUNDROP,SUNDROP,Small Cap
Xpro India Ltd.,INE445C01015,XPROINDIA,XPROINDIA,Small Cap
Bombay Dyeing & Mfg. Co. Ltd.,INE032A01023,BOMDYEING,BOMDYEING,Small Cap
Awfis Space Solutions Limited,INE108V01019,AWFIS,AWFIS,Small Cap
TCPL Packaging Limited,INE822C01015,TCPLPACK,TCPLPACK,Small Cap
Prakash Industries Ltd.,INE603A01013,PRAKASH,PRAKASH,Small Cap
Sagar Cements Ltd,INE229C01021,SAGCEM,SAGCEM,Small Cap
Federal-Mogul Goetze (India) Ltd,INE529A01010,FMGOETZE,FMGOETZE,Small Cap
UTKARSH SMALL FINANCE BANK LIMITED,INE735W01017,UTKARSHBNK,UTKARSHBNK,Small Cap
HLE GLASCOAT LIMITED,INE461D01028,HLEGLAS,HLEGLAS,Small Cap
MARSONS LIMITED,INE415B01044,MARSONS,MARSONS,Small Cap
Sangam (India) Ltd,INE495C01010,SANGAMIND,SANGAMIND,Small Cap
Protean eGov Technologies Limited,INE004A01022,PROTEAN,PROTEAN,Small Cap
Panacea Biotec Ltd.,INE922B01023,PANACEABIO,PANACEABIO,Small Cap
Baazar Style Retail Limited,INE01FR01028,STYLEBAAZA,STYLEBAAZA,Small Cap
Hikal Ltd.,INE475B01022,HIKAL,HIKAL,Small Cap
Shankara Buildpro Limited,INE24OJ01011,BUILDPRO,BUILDPRO,Small Cap
SpiceJet Limited,INE285B01017,,SPICEJET,Small Cap
Brigade Hotel Ventures Limited,INE03NU01014,BRIGHOTEL,BRIGHOTEL,Small Cap
Dr.Agarwals Eye Hospital Ltd.,INE934C01018,,DRAGARWQ,Small Cap
Ganesha Ecosphere Limited,INE845D01014,GANECOS,GANECOS,Small Cap
EPACK Durable Limited,INE0G5901015,EPACK,EPACK,Small Cap
Windsor Machines Limited,INE052A01021,WINDMACHIN,WINDMACHIN,Small Cap
Eveready Industries India Ltd.,INE128A01029,EVEREADY,EVEREADY,Small Cap
Nitin Spinners Ltd.,INE229H01012,NITINSPIN,NITINSPIN,Small Cap
Uniparts India Limited,INE244O01017,UNIPARTS,UNIPARTS,Small Cap
Alembic  Ltd,INE426A01027,ALEMBICLTD,ALEMBICLTD,Small Cap
Thirumalai Chemicals Ltd.,INE338A01024,TIRUMALCHM,TIRUMALCHM,Small Cap
Mangalam Cement Ltd.,INE347A01017,MANGLMCEM,MANGLMCEM,Small Cap
Rane (Madras)  Ltd.,INE050H01012,RML,RML,Small Cap
BGR ENERGY SYSTEMS LIMITED,INE661I01014,BGRENERGY,BGRENERGY,Small Cap
Gujarat Industries Power Co. Ltd,INE162A01010,GIPCL,GIPCL,Small Cap
Monarch Networth Capital Limited,INE903D01011,MONARCH,MONARCH,Small Cap
Morepen Laboratories Ltd.,INE083A01026,MOREPENLAB,MOREPENLAB,Small Cap
Afcom Holdings Limited,INE0OXY01013,,AFCOM,Small Cap
Elcid Investments Ltd.,INE927X01018,,ELCIDIN,Small Cap
Sasken Technologies Limited,INE231F01020,SASKEN,SASKEN,Small Cap
G.M. Breweries Ltd.,INE075D01018,GMBREW,GMBREW,Small Cap
Bhansali Engineering Polymers Ltd.,INE922A01025,BEPL,BEPL,Small Cap
Pennar Industries Ltd.,INE932A01024,PENIND,PENIND,Small Cap
TeamLease Services Limited,INE985S01024,TEAMLEASE,TEAMLEASE,Small Cap
Kernex Microsystems (India) Ltd.,INE202H01019,KERNEX,KERNEX,Small Cap
Prabha Energy Limited,INE0I0M01023,PRABHA,PRABHA,Small Cap
Sai Parenteral's Limited,INE0H9F01037,SAIPARENT,SAIPARENT,Small Cap
HPL Electric & Power Limited,INE495S01016,HPL,HPL,Small Cap
HONDA INDIA POWER PRODUCTS LIMITED,INE634A01018,HONDAPOWER,HONDAPOWER,Small Cap
Antelopus Selan Energy Limited,INE818A01017,ANTELOPUS,ANTELOPUS,Small Cap
BELDING INDIA LIMITED,INE363L01045,,BELDING,Small Cap
Rajratan Global Wire Ltd,INE451D01029,RAJRATAN,RAJRATAN,Small Cap
K.P. Energy Limited,INE127T01021,KPEL,KPEL,Small Cap
DIVGI TORQTRANSFER SYSTEMS LIMITED,INE753U01022,DIVGIITTS,DIVGIITTS,Small Cap
Blue Pearl Agriventures Limited,INE439N01031,,BPAGRI,Small Cap
ARKADE DEVELOPERS LIMITED,INE0QRL01017,ARKADE,ARKADE,Small Cap
Vimta Labs Ltd.,INE579C01029,VIMTALABS,VIMTALABS,Small Cap
M.M.Forgings Ltd.,INE227C01017,MMFL,MMFL,Small Cap
Nucleus Software Exports Ltd,INE096B01018,NUCLEUS,NUCLEUS,Small Cap
Spectrum Electrical Industries Limited,INE01EO01010,SPECTRUM,SPECTRUM,Small Cap
Taj GVK Hotels & Resorts Ltd.,INE586B01026,TAJGVK,TAJGVK,Small Cap
Apcotex Industries Limited,INE116A01032,APCOTEXIND,APCOTEXIND,Small Cap
Rhetan TMT Limited,INE0KKN01029,RHETAN,RHETAN,Small Cap
Jaykay Enterprises Limited,INE903A01025,JAYKAY,JAYKAY,Small Cap
K.C.P. LTD,INE805C01028,KCP,KCP,Small Cap
CANTABIL RETAIL INDIA LIMITED,INE068L01024,CANTABIL,CANTABIL,Small Cap
Kalyani Investment Company Limited,INE029L01018,KICL,KICL,Small Cap
Shipping Corporation of India Land and Assets Limited,INE0PB301013,SCILAL,SCILAL,Small Cap
VINTAGE COFFEE AND BEVERAGES LIMITED,INE498Q01014,VINCOFE,VINCOFE,Small Cap
La Opala RG Ltd.,INE059D01020,LAOPALA,LAOPALA,Small Cap
SHRINGAR HOUSE OF MANGALSUTRA LIMITED,INE1B3L01017,SHRINGARMS,SHRINGARMS,Small Cap
DCX Systems Limited,INE0KL801015,DCXINDIA,DCXINDIA,Small Cap
Venky's (India) ltd.,INE398A01010,VENKEYS,VENKEYS,Small Cap
Nitco Ltd.,INE858F01012,NITCO,NITCO,Small Cap
BF Utilities Ltd.,INE243D01012,BFUTILITIE,BFUTILITIE,Small Cap
YASHO INDUSTRIES LIMITED,INE616Z01012,YASHO,YASHO,Small Cap
BRIGHTCOM GROUP LIMITED,INE425B01027,BCG,BCG,Small Cap
TCI Express Limited,INE586V01016,TCIEXP,TCIEXP,Small Cap
Filatex India Ltd.,INE816B01035,FILATEX,FILATEX,Small Cap
Pix Transmissions Ltd.,INE751B01018,PIXTRANS,PIXTRANS,Small Cap
ONIX SOLAR ENERGY LIMITED,INE173M01012,,ONIXSOLAR,Small Cap
ADVAIT ENERGY TRANSITIONS LIMITED,INE0ALI01010,ADVAIT,ADVAIT,Small Cap
Sika Interplant Systems Ltd.,INE438E01032,,SIKA,Small Cap
Hindustan Oil Exploration Co. Ltd.,INE345A01011,HINDOILEXP,HINDOILEXP,Small Cap
MUFIN GREEN FINANCE LIMITED,INE08KJ01020,MUFIN,MUFIN,Small Cap
Epack Prefab Technologies Limited,INE0MLS01022,EPACKPEB,EPACKPEB,Small Cap
Indo Tech Transformers Limited,INE332H01014,INDOTECH,INDOTECH,Small Cap
Krsnaa Diagnostics Limited,INE08LI01020,KRSNAA,KRSNAA,Small Cap
MSP STEEL & POWER LTD.,INE752G01015,MSPL,MSPL,Small Cap
Bajel Projects Limited,INE0KQN01018,BAJEL,BAJEL,Small Cap
S H Kelkar and Company Limited,INE500L01026,SHK,SHK,Small Cap
Capacit'e Infraprojects Limited,INE264T01014,CAPACITE,CAPACITE,Small Cap
PTC India Financial Services Limited,INE560K01014,PFS,PFS,Small Cap
Jai Corp Limited,INE070D01027,JAICORPLTD,JAICORPLTD,Small Cap
SPICE LOUNGE FOOD WORKS LIMITED,INE631E01024,,SPICELOUNG,Small Cap
Nilkamal Limited,INE310A01015,NILKAMAL,NILKAMAL,Small Cap
Mold-Tek Packaging Limited,INE893J01029,MOLDTKPAC,MOLDTKPAC,Small Cap
EIH Associated Hotels Ltd.,INE276C01014,EIHAHOTELS,EIHAHOTELS,Small Cap
SATIN CREDITCARE NETWORK LIMITED,INE836B01017,SATIN,SATIN,Small Cap
KP GREEN ENGINEERING LIMITED,INE0QVH01025,,KPGEL,Small Cap
Indoco Remedies Ltd.,INE873D01024,INDOCO,INDOCO,Small Cap
GSP CROP SCIENCE LIMITED,INE713R01022,GSPCROP,GSPCROP,Small Cap
Kothari Industrial Corpn. Ltd.,INE972A01020,,KOTIC,Small Cap
Spandana Sphoorty Financial Limited,INE572J01011,SPANDANA,SPANDANA,Small Cap
Saksoft Limited,INE667G01023,SAKSOFT,SAKSOFT,Small Cap
Studds Accessories Limited,INE00Q601028,STUDDS,STUDDS,Small Cap
Hathway Cable & Datacom Limited,INE982F01036,HATHWAY,HATHWAY,Small Cap
Insecticides India Ltd.,INE070I01018,INSECTICID,INSECTICID,Small Cap
Vikran Engineering Limited,INE01R501028,VIKRAN,VIKRAN,Small Cap
SOLARA ACTIVE PHARMA SCIENCES LIMITED,INE624Z01016,SOLARA,SOLARA,Small Cap
Geojit Financial Services Limited,INE007B01023,GEOJITFSL,GEOJITFSL,Small Cap
S.P. Apparels Limited,INE212I01016,SPAL,SPAL,Small Cap
GHV INFRA PROJECTS LIMITED,INE809Q01020,,GHVINFRA,Small Cap
Mukand Ltd.,INE304A01026,MUKANDLTD,MUKANDLTD,Small Cap
Tasty Bite Eatables Ltd.,INE488B01017,TASTYBITE,TASTYBITE,Small Cap
Elpro International Ltd.,INE579B01039,,ELPROINTL,Small Cap
Mobavenue AI Tech Limited,INE622Q01027,,MOBAVENUE,Small Cap
YATRA ONLINE LIMITED,INE0JR601024,YATRA,YATRA,Small Cap
Mahanagar Telephone Nigam Ltd.,INE153A01019,MTNL,MTNL,Small Cap
Hindware Home Innovation Limited,INE05AN01011,HINDWAREAP,HINDWAREAP,Small Cap
Hinduja Global Solutions Limited,INE170I01016,HGS,HGS,Small Cap
Veranda Learning Solutions Limited,INE0IQ001011,VERANDA,VERANDA,Small Cap
Servotech Renewable Power System Ltd.,INE782X01033,SERVOTECH,,Small Cap
EMS LIMITED,INE0OV601013,EMSLIMITED,EMSLIMITED,Small Cap
Silver Touch Technologies Limited,INE625X01026,SILVERTUC,SILVERTUC,Small Cap
Thejo Engineering Ltd.,INE121N01019,THEJO,,Small Cap
Panama Petrochem Ltd.,INE305C01029,PANAMAPET,PANAMAPET,Small Cap
Oriental Hotels Ltd.,INE750A01020,ORIENTHOT,ORIENTHOT,Small Cap
Rane Holdings Ltd.,INE384A01010,RANEHOLDIN,RANEHOLDIN,Small Cap
STOVE KRAFT LIMITED,INE00IN01015,STOVEKRAFT,STOVEKRAFT,Small Cap
Ador Welding Ltd.,INE045A01017,ADOR,ADOR,Small Cap
TCC CONCEPT LIMITED,INE887D01016,TCC,TCC,Small Cap
India Nippon Electricals Ltd,INE092B01025,INDNIPPON,INDNIPPON,Small Cap
India Pesticides Limited,INE0D6701023,IPL,IPL,Small Cap
Cosmo First Limited,INE757A01017,COSMOFIRST,COSMOFIRST,Small Cap
Talbros Automotive Components Ltd.,INE187D01029,TALBROAUTO,TALBROAUTO,Small Cap
NDR Auto Components Limited,INE07OG01012,NDRAUTO,NDRAUTO,Small Cap
Indian Hume Pipe Co. Ltd.,INE323C01030,INDIANHUME,INDIANHUME,Small Cap
Goodyear India Ltd.,INE533A01012,,GOODYEAR,Small Cap
Go Fashion (India) Limited,INE0BJS01011,GOCOLORS,GOCOLORS,Small Cap
M & B ENGINEERING LIMITED,INE08N601015,MBEL,MBEL,Small Cap
Somany Ceramics Limited,INE355A01028,SOMANYCERA,SOMANYCERA,Small Cap
ACCELYA SOLUTIONS INDIA LIMITED,INE793A01012,ACCELYA,ACCELYA,Small Cap
SUMMIT SECURITIES LTD.,INE519C01017,SUMMITSEC,SUMMITSEC,Small Cap
CEINSYS TECH LIMITED,INE016Q01014,CEINSYS,CEINSYS,Small Cap
APOLLO PIPES LIMITED,INE126J01016,APOLLOPIPE,APOLLOPIPE,Small Cap
Solarworld Energy Solutions Limited,INE0TY101024,SOLARWORLD,SOLARWORLD,Small Cap
Shalby Limited,INE597J01018,SHALBY,SHALBY,Small Cap
Ramco Systems Ltd,INE246B01019,RAMCOSYS,RAMCOSYS,Small Cap
Delta Corp Limited,INE124G01033,DELTACORP,DELTACORP,Small Cap
Disa India Ltd.,INE131C01011,,DISAQ,Small Cap
Simplex Infrastructures Limited,INE059B01024,SIMPLEXINF,SIMPLEXINF,Small Cap
SANSTAR LIMITED,INE08NE01025,SANSTAR,SANSTAR,Small Cap
InfoBeans Technologies Limited,INE344S01016,INFOBEAN,INFOBEAN,Small Cap
Rishabh Instruments Limited,INE0N2P01017,RISHABH,RISHABH,Small Cap
Frontier Springs Ltd.,INE572D01014,,FRONTSP,Small Cap
HI-TECH PIPES LIMITED,INE106T01025,HITECH,HITECH,Small Cap
Stallion India Fluorochemicals Limited,INE0RYC01010,STALLION,STALLION,Small Cap
INDOSOLAR LIMITED,INE866K01023,WAAREEINDO,WAAREEINDO,Small Cap
Khazanchi Jewellers Limited,INE0OWC01011,,KHAZANCHI,Small Cap
JNK India Limited,INE0OAF01028,JNKINDIA,JNKINDIA,Small Cap
